vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s
148,-48.50517304687499,-70.0,-34.37423420221921,114369.7406251376,114369.740270015,-9.012800385856185,-1.00168432284148e+16,10128791396.88677,1.001685335720619e+16,10128791396.88677,1.001685335720619e+16,87.70078842879407,66.06296705138968,10135554.72710546,7626406.2738548
149,-48.55507548828125,-61.25,-33.78409834192038,124808.3916907389,124808.3916906786,-0.122637313206713,-1.713038799912383e+16,10394307626.26825,1.713039839343146e+16,10394307626.26825,1.713039839343146e+16,82.9242595247447,61.59122846662205,10334434.78087646,7665075.539854218
150,-48.6049779296875,-52.5,-33.12836903441512,141845.1252164297,141845.1252164297,-0.004080910587782006,-2.71126817838257e+16,11202922921.52091,2.711269298674862e+16,11202922921.52091,2.711269298674862e+16,80.56690643050753,54.75283183638193,11435828.22514026,7724689.157071866
151,-48.65488037109375,-43.75000000000001,-32.36840732665555,167130.901784245,167130.901784245,0.000103114985190546,-3.850571756543921e+16,13371375395.13512,3.85057309368146e+16,13371375395.13512,3.85057309368146e+16,72.34325843610168,47.06817467783178,11965473.54326642,7806154.659849263
152,-48.7047828125,-35.0,-31.46032125370455,200439.5702971914,200439.5702971913,-0.005656559194191113,-4.790199212454226e+16,18549833089.27345,4.790201067437535e+16,18549833089.27345,4.790201067437535e+16,57.06134188401782,39.71539637137845,11316083.46670349,7895447.865248436
153,-48.75468525390625,-26.25,-30.36791291997987,238822.960854801,238822.9608548002,-0.01907359998332196,-5.165535929399731e+16,29808830111.33513,5.165538910282743e+16,29808830111.33513,5.165538910282743e+16,46.03659695752005,33.62470397708351,10907427.47865289,7977282.945667103
154,-48.8045876953125,-17.5,-29.07671864120939,277424.1003908411,277424.1003908392,-0.0328010109561058,-4.846569705686394e+16,52882865699.22526,4.846574993972963e+16,52882865699.22526,4.846574993972963e+16,38.86205724549844,29.11657752361145,10727511.55597633,8043606.265179481
155,-48.85449013671874,-8.75,-27.59902802472731,311577.9745375383,311577.9745375209,0.1042999002372675,-4.01302128852142e+16,99230924900.5778,4.01303121161391e+16,99230924900.5778,4.01303121161391e+16,34.28501395904259,26.03398447680857,10653456.75004269,8093722.718013381
156,-48.85449013671874,0.0,-27.5992437161296,311577.5671241026,311577.5671241026,-2.035106954032023e-12,-4.013067885995454e+16,99228975624.37003,4.013077808893015e+16,99228975624.37003,4.013077808893015e+16,34.87174538454765,26.43945498781209,10651653.35274258,8092460.885093231
157,-48.904392578125,0.0,-25.96719923411472,338584.5698692081,338584.5698692081,-2.365926640680515e-12,-2.994233555314035e+16,193256951086.6591,2.994252881009144e+16,193256951086.6591,2.994252881009144e+16,31.779276096552,24.29157664698024,10621690.26800856,8129078.868973336
158,-48.904392578125,-8.75,-25.96698401569594,338584.6223336399,338584.6223336236,0.1050499612825437,-2.99420279281919e+16,193261041991.0999,2.99422211892339e+16,193261041991.0999,2.99422211892339e+16,31.41767279668095,24.03660678270848,10623579.5625962,8130468.378521252
159,-48.85449013671874,-17.5,-27.59906011910386,311578.4156857604,311578.4156857589,-0.03074786255010109,-4.013021107933054e+16,99230997394.93062,4.013031031032793e+16,99230997394.93062,4.013031031032793e+16,34.28498337108588,26.03396200431079,10653458.43110257,8093724.112390527
160,-48.8045876953125,-26.25,-29.07674206725591,277424.3790523096,277424.379052309,-0.01798774436978877,-4.846569590105024e+16,52882871958.31197,4.84657487839222e+16,52882871958.31197,4.84657487839222e+16,38.86201692242437,29.11655035469198,10727510.8799376,8043606.635542566
161,-48.75468525390625,-35.0,-30.36792183306288,238823.0629945533,238823.0629945533,-0.00533559392664147,-5.165535872208737e+16,29808831198.7686,5.165538853091857e+16,29808831198.7686,5.165538853091857e+16,46.03657213824986,33.62468926787214,10907426.62074255,7977283.150161169
162,-48.7047828125,-43.75000000000001,-31.46032191151336,200439.5807088786,200439.5807088786,0.0001191721840015697,-4.790199192330609e+16,18549833317.0696,4.790201047313941e+16,18549833317.0696,4.790201047313941e+16,57.06133336600735,39.71539259144874,11316082.90016603,7895447.913137299
163,-48.65488037109375,-52.5,-32.36840646542038,167130.8970022047,167130.8970022047,-0.003857568707637617,-3.850571755734266e+16,13371375398.61654,3.850573092871806e+16,13371375398.61654,3.850573092871806e+16,72.34326298384403,47.06817090539869,11965475.1121311,7806154.696359487
