event_id,primary_charge_fC,preirradiation_full_collection_charge_fC,effective_electron_multiplication,primary_electron_induced_charge_fC,primary_hole_induced_charge_fC,primary_charge_weighted_electron_active_drift_ps,primary_charge_weighted_hole_active_drift_ps,gain_charge_weighted_electron_active_drift_ps,primary_charge_weighted_electron_full_contact_drift_ps,primary_charge_weighted_hole_full_contact_drift_ps,max_electron_drift_ps,max_hole_drift_ps
4240,0.5407336327063436,5.252340317572444,9.71335977620766,0.272528381112532,0.26820525159381153,570.2122653224305,298.99604429447436,577.0197016534702,570.2122653224305,14152.438981147,5821.551514728952,625.2434744795588
4241,0.9586164969211443,9.170867850038459,9.566774491669168,0.49627671570206455,0.4623397812190796,532.891798916527,289.92370142809455,545.1171948388335,532.891798916527,14214.30941021296,5821.551514728952,625.2434741223409
4242,0.5984361922143587,5.863778269942883,9.79850207295365,0.33570882132340485,0.26272737089095416,485.18284036699384,260.8200489076235,487.6289463468187,485.18284036699384,14300.32753018136,5821.551514728952,625.2434738889393
4243,0.9440515630754748,9.158472090139279,9.70124138167131,0.6088963633814215,0.3351551996940534,467.7379652396862,205.14914328015107,473.3034133701584,467.7379652396862,14342.632408113996,5821.551514728952,625.2434729702737
4244,1.5056977787260237,14.414870026900264,9.573548045675366,0.6504716744276642,0.855226104298359,393.72373091049025,345.69054450385056,401.36017441978277,393.72373091049025,14430.709036990984,5821.551514728952,625.243474994658
4245,0.7016719851557394,6.759453786972942,9.633352805830846,0.4464280559462945,0.2552439292094448,889.4222900978352,213.29220285534106,907.6375083262277,889.4222900978352,13643.221333741103,5821.551514728952,625.243475924965
4246,0.6863119631512399,6.741243713153251,9.82241906756288,0.3139921935669964,0.3723197695842433,453.13698396732474,329.30584218982955,454.59869522976874,453.13698396732474,14336.252327610237,5821.551514728952,625.2434744100859
4247,0.5163442343199294,4.87996366449212,9.450988972346055,0.2859417630115951,0.23040247130833408,504.34174805456087,265.84635763722804,520.1844819204746,504.34174805456087,14266.728311711759,5821.551514728952,625.2434732493933
4248,0.8569527772836092,7.354149066417795,8.581743663553043,0.4114544749184085,0.44549830236520066,550.9376885467155,314.9608256908174,611.639699734604,550.9376885467155,14178.99289575094,5821.551514728952,625.2434760709572
4249,0.4879077685332208,4.789957187509445,9.817341506796083,0.24536046710936912,0.2425473014238517,434.0090516647867,299.18110717685033,435.52773506370795,434.0090516647867,14374.503252443723,5821.551514728952,625.2434722497464
4250,0.4321270501280915,4.112823030766601,9.5176245725591,0.22249325673629455,0.209633793391797,447.6844579302426,291.194645210811,458.8134316790068,447.6844579302426,14354.149439572124,5821.551514728952,625.2434722743775
4251,1.08259884778531,10.6435824878265,9.831511006685671,0.3750276447774508,0.7075712030078588,373.33720988971464,402.75152042584193,374.20704713456695,373.33720988971464,14450.752856580355,5821.551514728952,625.2434750980921
4252,0.5184336930446589,5.038611621038755,9.718912348169313,0.23106446583843007,0.28736922720622865,423.0542203432989,337.03898073868936,427.33260009276984,423.0542203432989,14384.106829031227,5821.551514728952,625.2434754603485
4253,0.5348276307761817,5.160509612092604,9.648921101184111,0.26775563281848824,0.2670719979576934,475.86150581826826,300.67335720320534,483.383552717191,475.86150581826826,14306.252569985718,5821.551514728952,625.243475963164
4254,1.0592517864028594,10.350796623076091,9.771800015770216,0.4718014077964491,0.5874503786064104,398.2291306112275,336.95035589836795,400.73735303559687,398.2291306112275,14423.544874190598,5821.551514728952,625.2434726391028
4255,0.7502125002942209,7.1462305346828625,9.525608453445162,0.33783896164687116,0.4123735386473495,465.14498515577685,334.30108137118816,476.6452310374095,465.14498515577685,14314.92628028572,5821.551514728952,625.2434751652686
4256,0.6519312974319535,6.43392697970774,9.869026084576484,0.35252987620752313,0.29940142122443064,423.51837697030436,273.9201652640959,423.5223173761221,423.51837697030436,14398.13424455772,1643.409441256105,612.9907553382026
4257,0.6881291756066322,6.722215696455558,9.768828200794527,0.28541948308167026,0.4027096925249621,362.98101069956624,357.103479707368,365.20309926345635,362.98101069956624,14477.88960584762,5821.551514728952,625.2434732872707
4258,0.8374640051508577,8.17490873753447,9.76150459871033,0.42575320142646156,0.41171080372439595,533.1164657069498,295.7754819549474,537.3859181835306,533.1164657069498,14212.983210087166,5821.551514728952,625.2434723879783
4259,0.9235157065142658,9.100496305468743,9.854186822461113,0.5770684869601896,0.34644721955407626,637.7300605733423,218.98967857372665,638.4835985334994,637.7300605733423,14059.989575276048,5821.551514728952,625.2434759843262
4260,0.4960907845504154,4.791977084065298,9.659476114655204,0.2404942097454007,0.25559657480501474,423.03824526225054,310.8844348478785,429.042513938878,423.03824526225054,14390.75795966719,5821.551514728952,625.2434676253629
4261,0.4005056390797375,3.82165194429492,9.542067754841423,0.20289456122428376,0.19761107785545362,497.3417132134117,296.95638839575776,509.3766166887072,497.3417132134117,14271.40152109253,5821.551514728952,625.2434742812056
4262,0.42084164192326085,4.145469898419644,9.850427062005327,0.22560449242623085,0.19523714949702994,440.62592114455526,277.1189492775626,441.1859764780845,440.62592114455526,14369.181764032488,5821.551514728952,625.243475486506
4263,1.6187450730816513,15.928982625604794,9.84032809766663,1.1614630383296431,0.4572820347520074,534.9990031705324,157.1500025256035,536.1365949839021,534.9990031705324,14243.295076286495,5821.551514728952,625.2434748055026
