temperature_K,bias_V,anode_conduction_current_A,operating_regime,state,fluence_neq_cm-2,active_acceptor_fraction,beta_e_cm2_per_ns,beta_h_cm2_per_ns,charge_MPV_fC,charge_median_fC,charge_p16_fC,charge_p84_fC,events,map
300.0,590.0,-0.08118,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.210835428124117,6.145745345757396,4.864885555460732,8.775721765169486,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V590/n590_T300_V590_map.csv
300.0,610.0,-0.101,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.211562341065323,6.146834527762898,4.865641714653194,8.777001353364607,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V610/n590_T300_V610_map.csv
300.0,450.0,-2.231e-08,stable,D1_low,500000000000000.0,0.9,5e-16,7e-16,2.8764969394737765,3.3856102819686615,2.681235024207218,4.835638335871567,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv
300.0,470.0,-3.398e-08,stable,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.1466923578465384,3.703547951561551,2.933078053179295,5.288632075893122,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V470/n590_T300_V470_map.csv
300.0,490.0,-6.815e-08,stable,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.4451418018944935,4.055132230193245,3.2109835083390976,5.790683195692883,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V490/n590_T300_V490_map.csv
300.0,510.0,-6.2e-06,transition,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.745770407770335,4.40909681216758,3.4909273522186046,6.2964008319721225,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V510/n590_T300_V510_map.csv
300.0,530.0,-0.02191,breakdown,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.7493449691343845,4.413504830889627,3.4945355372659312,6.3025503893862815,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V530/n590_T300_V530_map.csv
300.0,550.0,-0.04167,breakdown,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.751687402760946,4.416315849972534,3.49676246420734,6.306550449165264,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V550/n590_T300_V550_map.csv
300.0,570.0,-7.297e-06,transition,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.745545136007015,4.408833704965467,3.490717524752925,6.296022861666464,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V570/n590_T300_V570_map.csv
300.0,590.0,-0.08118,breakdown,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.7551408899078575,4.42050632255124,3.5000759870906553,6.312493906018686,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V590/n590_T300_V590_map.csv
300.0,610.0,-0.101,breakdown,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.756596383040667,4.422392219876079,3.5015595214768354,6.315054315802558,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V610/n590_T300_V610_map.csv
300.0,450.0,-2.231e-08,stable,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.140159048922601,2.5232528849594633,1.9984691059148987,3.603903739012976,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv
300.0,470.0,-3.398e-08,stable,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.3186166195667033,2.7318111191792194,2.1639337127585234,3.902900973563531,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V470/n590_T300_V470_map.csv
300.0,490.0,-6.815e-08,stable,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.5137040704584592,2.960633873003286,2.345169819380327,4.22993028847534,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V490/n590_T300_V490_map.csv
300.0,510.0,-6.2e-06,transition,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.708401763645469,3.188704214379379,2.526032724808322,4.553431195112172,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V510/n590_T300_V510_map.csv
300.0,530.0,-0.02191,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.71186144755326,3.1927204941838943,2.529146195511429,4.558970394436053,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V530/n590_T300_V530_map.csv
300.0,550.0,-0.04167,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.7144464394883236,3.195710939864755,2.5314857941772515,4.563088011160709,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V550/n590_T300_V550_map.csv
300.0,570.0,-7.297e-06,transition,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.708258441670907,3.188534146475337,2.525896566745589,4.553186656365365,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V570/n590_T300_V570_map.csv
300.0,590.0,-0.08118,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.718516406954506,3.2004372257239133,2.5351967617978817,4.569705423719285,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V590/n590_T300_V590_map.csv
300.0,610.0,-0.101,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.7202407529158714,3.202483049177105,2.5368353215387884,4.572615558741012,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V610/n590_T300_V610_map.csv
300.0,450.0,-2.231e-08,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.6011923671557118,1.8958958674203403,1.502268237943867,2.704245908903105,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv
300.0,470.0,-3.398e-08,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.7173775382918188,2.032804785263621,1.6098732306927623,2.899924288729767,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V470/n590_T300_V470_map.csv
300.0,490.0,-6.815e-08,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.843075944200332,2.1801848532698944,1.7266083278606994,3.111202002470125,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V490/n590_T300_V490_map.csv
300.0,510.0,-6.2e-06,transition,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.9673146812003957,2.3256195895064025,1.841891334882599,3.3194565639191094,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V510/n590_T300_V510_map.csv
300.0,530.0,-0.02191,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.9702946600690008,2.329130143168552,1.8445894128617564,3.324404536909595,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V530/n590_T300_V530_map.csv
300.0,550.0,-0.04167,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.9727026424829526,2.3318392480500973,1.8467319863711,3.328342661460136,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V550/n590_T300_V550_map.csv
300.0,570.0,-7.297e-06,transition,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.967222713807034,2.3255134524100973,1.84180496450329,3.319297325256865,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V570/n590_T300_V570_map.csv
300.0,590.0,-0.08118,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.9766078489381194,2.3362366282948654,1.850226893555991,3.3348458087230535,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V590/n590_T300_V590_map.csv
300.0,610.0,-0.101,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.9782777496017654,2.338154089670194,1.851764730111731,3.3377846402917672,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V610/n590_T300_V610_map.csv
300.0,450.0,-2.231e-08,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.2066513762439948,1.437265844409393,1.1392446990326055,2.048598024419166,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv
300.0,470.0,-3.398e-08,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.2812237743640518,1.52422804599611,1.2081981483978441,2.1731625849796097,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V470/n590_T300_V470_map.csv
300.0,490.0,-6.815e-08,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.36105007678941,1.6178273525152695,1.2822088712480377,2.3065773968854586,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V490/n590_T300_V490_map.csv
300.0,510.0,-6.2e-06,transition,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.4391573067256194,1.709433771202647,1.3548344426980325,2.4377690865810613,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V510/n590_T300_V510_map.csv
300.0,530.0,-0.02191,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.44162482844134,1.7122067893326791,1.3570028531610094,2.441848938929202,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V530/n590_T300_V530_map.csv
300.0,550.0,-0.04167,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.4437193219357165,1.7145054787207394,1.3588193670746689,2.4451870015899133,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V550/n590_T300_V550_map.csv
300.0,570.0,-7.297e-06,transition,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.439099075068377,1.709365172749844,1.3547799110454535,2.4376696670388904,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V570/n590_T300_V570_map.csv
300.0,590.0,-0.08118,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.4471753229636404,1.7182960088531214,1.3618166350554752,2.4504971813348733,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V590/n590_T300_V590_map.csv
300.0,610.0,-0.101,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.448660862550198,1.7199693786144912,1.3631288814978688,2.4528087452458176,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V610/n590_T300_V610_map.csv
300.0,450.0,-2.231e-08,stable,D5_high,2500000000000000.0,0.5,5e-16,7e-16,0.937052633875036,1.1003952847597143,0.8724688102654341,1.5660955576307163,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv
