event_id,primary_charge_fC,preirradiation_reference_charge_fC,acceptor_sqrt_no_trapping_charge_fC,acceptor_direct_no_trapping_charge_fC,hybrid_sqrt_nominal_trapping_charge_fC,hybrid_direct_nominal_trapping_charge_fC,hybrid_direct_strong_trapping_charge_fC
4089,0.5899895839104076,4.747864892806143,3.2761056657674597,2.4154012614430624,2.063258612497416,1.5347857823232758,1.3008173211315912
4090,0.48173710199088754,4.675378944775035,3.186790397085699,2.317222532055665,2.0056774057887097,1.4717624070118698,1.2483011665438968
4091,0.7774698596744437,7.572976376158393,5.160704635918371,3.751589257672838,3.2684356954965175,2.403238320019103,2.043599686120394
4092,0.5981773451697573,5.729598175351411,3.9084492255188437,2.844540677795996,2.452294221713152,1.799053970878857,1.5274741656395305
4093,0.47709527091705417,4.60466650945033,3.139639558237327,2.2838097623407148,1.9763537011491512,1.4508738794060678,1.2295421992689028
4094,0.46277192659659416,4.516630498307497,3.077552654815946,2.2369318914193386,1.9317097295780934,1.415568262916235,1.2008396662914003
4095,1.178795015582311,11.535244915145084,7.858677337061306,5.711085431628562,4.976303897757637,3.6576816556735823,3.1105137062212793
4096,0.6356590052192879,6.2733044002745695,4.2717086968886235,3.1025672923363214,2.6886091107320707,1.9707558455476633,1.6736103935590205
4097,0.5595385613270228,5.416265895697487,3.692366158871876,2.68532590624115,2.325302401259089,1.7069793052683722,1.4485758120883667
4098,0.4499603260322764,4.3678606789364185,2.9771464395940344,2.164753324119415,1.872066537182654,1.3732568570279529,1.1644125030404255
4099,0.5258411388546551,5.024500318989716,3.427974876784919,2.4952771491912826,2.1583789390989985,1.5857021813839325,1.3461803794458953
4100,1.01955321003079,9.988284942039739,6.8043274349262015,4.944489536425408,4.2772894160301025,3.1353482428288184,2.654115185243783
4101,0.4974621776196228,4.791537795397333,3.2674543079568075,2.377115315251342,2.0638940002606554,1.5172255219776412,1.2878766162199518
4102,0.8504544134625425,8.38755763301602,5.711602174812765,4.148557654510479,3.626234330126455,2.6665244027490194,2.270146781235759
4103,0.6162824496452387,6.0309969374457335,4.108763820358808,2.9859284853037584,2.595116649804678,1.9056953292764964,1.6177854257001338
4104,1.2413461056531325,12.01229545241138,8.189159365107141,5.955814671958513,5.173286919848444,3.802012433469174,3.2300531297349226
4105,0.4561390929313695,4.348637033339675,2.9672725897038146,2.160263555874257,1.8681683993919673,1.3726645470108743,1.1635829399994098
4106,0.7094888722749979,6.957109887060668,4.739135489427747,3.4435620952867425,2.990054190434141,2.1945716356542717,1.8614059816510455
4107,0.401971521984152,3.824237423389241,2.609784231656212,1.9002780473934047,1.6471069194735022,1.211469853955155,1.0288339395243087
4108,4.323093319229865,42.65340159017347,29.04461796555586,21.095651446302163,18.512014986008783,13.63134653624482,11.633688178192623
4109,0.7480163742875706,7.174014036100864,4.893385857570294,3.5610576417387696,3.091899732286588,2.273849703286212,1.9307086000808689
4110,0.6026189279486529,5.85639011704246,3.9914634753459466,2.902062501541922,2.5203790773822345,1.851486467432058,1.5721571227956435
4111,0.7768795667166312,7.55965392207222,5.151927845174746,3.7454625499216596,3.256030939833505,2.392460716514403,2.0329444119284843
4112,0.5094876914873633,4.948740178205562,3.372950143595602,2.452447641278436,2.1015519547031687,1.5363630668608275,1.3030670258584975
4113,0.5440584408357539,5.336613519516755,3.6351951572589942,2.6413570203819146,2.297627468668861,1.687410476700125,1.434238620373704
4114,0.9478635666540857,9.26158272238023,6.310259533650703,4.586286429662464,3.990832741315938,2.932312603275241,2.4908345365807687
4115,2.230969764373711,6.96557180088946,5.347000880752363,4.386986037864489,3.3353353581707,2.745885881539491,2.313104017409064
4116,0.6556908601788414,6.372286907437658,4.343071255987492,3.15770059507708,2.7232194560997605,1.9954014212150732,1.6886794361137225
4117,0.8038470029132456,7.873726150055134,5.363876840727421,3.8978037978612834,3.3938728847559108,2.493703481899736,2.1209232998806185
4118,0.47373142369996607,4.548985641109885,3.102626288393091,2.2576786334624446,1.9578780506952729,1.439079870865905,1.2216868105216092
4119,1.3086927080180035,12.835411238640365,8.743284868701313,6.352976965401933,5.5506441059506155,4.082994149168281,3.4790360535853257
4120,1.0736139755122778,10.565990990332557,7.195921233665412,5.227422242884295,4.549977579250175,3.3413184541279093,2.8400784791465843
4121,0.7080367262341064,6.909259784588693,4.70789688396449,3.421994078561738,2.964190339349367,2.1746455305269468,1.8434473385729908
4122,0.5204136421718676,4.9559429390944665,3.3818921886595366,2.462307933806911,2.1298581825771956,1.5652331021859136,1.3276026974912754
4123,0.6323472243203525,6.176454282435261,4.208334215459865,3.0586839820396787,2.6682857613018873,1.9624000829079276,1.6702317745752968
4124,0.9131814097058693,8.90976285917495,6.071075341648173,4.412884308035968,3.825636608742949,2.8075066858496975,2.3818225112071434
4125,0.5241488633592414,5.094182107725054,3.471956077130224,2.5243309495725703,2.190792857087155,1.6089506702769296,1.3651752691703625
4126,0.5429202843119199,5.281949924147562,3.599712097709708,2.6170365067033465,2.2738242936088473,1.6704611089477437,1.4195878126008805
4127,1.0500988576832857,10.363517583967358,7.056862295758266,5.1254328374647296,4.456277711601416,3.27037929371249,2.778889814417635
4128,0.6173231202178092,6.0095771019916535,4.095450714814328,2.9773194668125744,2.5739621157010384,1.8874291058588268,1.5977502610791534
4129,0.6341594683699268,6.146384146646875,4.189783178052097,3.046814518702711,2.6392405590377117,1.9374573689933015,1.6431279858647658
4130,0.5885902045978361,5.7067351607747066,3.8900075016341917,2.8287490461984643,2.452878282845491,1.80126518983374,1.5307556853688258
4131,10.415931044995531,102.43590223567851,69.76659840505721,50.683927685499654,44.58330972957649,32.866542690064946,28.060652344797624
4132,0.39502780573484103,3.8985440284308472,2.6546500071077586,1.9280863771617076,1.6767144978254396,1.2306041542790993,1.0455907577146621
4133,0.8321250705557025,8.088156685293153,5.51248335299235,4.007899591403645,3.4740375422769048,2.550222543371345,2.1621371955065984
4134,1.6647084138636425,16.288191475715305,11.096845380361444,8.064416512899571,7.070832206603854,5.208919734520766,4.4437755313739
