tcad_x_um,tcad_lateral_um,electric_field_V_per_cm,electron_velocity_cm_per_s,hole_velocity_cm_per_s,electron_drift_to_cathode_ps,hole_drift_to_anode_ps,electron_multiplication_to_cathode,hole_multiplication_to_anode
-47.35741689453125,-70.0,102205.5460317849,9929943.939730758,7150105.65727969,36.023913748837955,3772.9594665153368,9.868356031888148,1.00000000045813
-47.30751445312499,-70.0,102239.8707600359,9930183.868690578,7150455.535803448,36.52645272436643,3772.2615576604,9.868356032407684,1.00000000045813
-47.25761201171874,-70.0,102274.1943422131,9930423.640182478,7150805.2020149715,37.028979561888605,3771.563682943605,9.868356032935175,1.00000000045813
-47.2077095703125,-70.0,102308.5167064217,9930663.253859269,7151154.65537508,37.531494269968114,3770.8658423408674,9.86835603347074,1.00000000045813
-47.15780712890625,-70.0,102342.8378204285,9930902.709651435,7151503.8957495075,38.03399685717785,3770.1680358280764,9.868356034014484,1.00000000045813
-47.1079046875,-70.0,102377.1576700068,9931142.00761533,7151852.923187577,38.53648733208957,3769.4702633811235,9.868356034566531,1.00000000045813
-47.05800224609375,-70.0,102411.476249134,9931381.147864502,7152201.737822065,39.03896570326997,3768.772524975915,9.868356035126995,1.00000000045813
-47.0080998046875,-70.0,102445.7935546837,9931620.130532563,7152550.339815069,39.54143197927781,3768.074820588379,9.868356035696001,1.00000000045813
-46.95819736328125,-70.0,102480.1096021012,9931858.955882184,7152898.729517015,40.04388616866083,3767.3771501944757,9.868356036273667,1.00000000045813
-46.908294921875,-70.0,102531.5806651517,9932216.89476143,7153420.9098645225,40.546325263211976,3766.679522254787,9.868356036862368,1.00000000045813
-46.80849003906249,-70.0,102583.0468908302,9932574.466617897,7153942.5933231525,41.551167257564636,3765.284368173143,9.868356038066725,1.00000000045813
-46.70868515625,-70.0,102685.9710539588,9933288.554640464,7154984.535333321,42.555955046896,3763.889366543121,9.868356039312847,1.00000000045813
-46.50907539062499,-70.0,102788.8706085605,9934001.144725123,7156024.444876591,44.56538631711271,3761.099769150582,9.86835604192017,1.00000000045813
-46.309465625,-70.0,102994.6445048669,9935422.18473965,7158098.679135438,46.57460181709137,3758.310778611837,9.86835604471159,1.00000000045813
-45.91024609375,-70.0,103200.2782811021,9936836.999764599,7160164.432074399,50.59245936984371,3752.734410354612,9.868356050818624,1.00000000045813
-45.5110265625,-70.0,103611.5079134161,9939650.720944831,7164274.504881557,54.60946222124925,3747.1604459449245,9.868356057819339,1.00000000045813
-44.7125875,-70.0,104021.8490104916,9942437.757645695,7168347.956011252,62.64120475221185,3736.0188822963737,9.868356074536589,1.00000000045813
-43.9141484375,-70.0,104569.6821318848,9946126.94778426,7173743.579273621,70.67033206027179,3724.884673962237,9.86835609506459,1.00000000045813
-43.115709375,-70.0,105390.2421614171,9951585.99307701,7181735.260848532,78.69576819931247,3713.7608470409664,9.868356122577064,1.00000000045813
-41.51883125000001,-70.0,106204.7902825061,9956927.405480158,7189563.478915511,94.73793275455273,3691.5376836689156,9.86835619986821,1.0000000004581298
-39.921953125,-70.0,107297.3966346929,9963973.599070705,7199903.427687565,110.77012250761932,3669.342574427979,9.868356313987862,1.0000000004581295
-38.325075,-70.0,108388.8207116591,9970880.005682757,7210052.90646255,126.79109109188224,3647.1790247243025,9.868356487088976,1.0000000004581289
-36.72819687499999,-70.0,109479.0876779226,9977650.887264771,7220017.34075625,142.80107516075188,3625.0463689701696,9.868356746371271,1.0000000004581278
-35.13131875,-70.0,111108.1885818738,9987536.957299327,7234591.441298789,158.797704182917,3602.951274284893,9.86835718168499,1.0000000004581246
-31.9375625,-70.0,112697.8618437132,9996926.344500406,7248461.065983881,190.76010324034934,3558.8478758149904,9.868358742729884,1.0000000004581053
-28.74380625,-70.0,114867.6380879426,10009349.735969638,7266854.066975188,222.68765906030757,3514.8424739504835,9.868361745430393,1.0000000004580407
-25.55005,-70.0,117033.3818156937,10021319.804501759,7284620.97199569,254.57633241763764,3470.9464290121186,9.868367601862756,1.0000000004578262
-22.35629375,-70.0,119195.2574739219,10032861.721868547,7301794.412274401,286.4276179334137,3427.155537378124,9.868378619514392,1.0000000004571588
-19.1625375,-70.0,121353.4200582786,10043998.789893558,7318404.73037635,318.24292322877375,3383.4658401140496,9.868398664313133,1.0000000004552017
-15.96878124999999,-70.0,123508.0152529951,10054752.610728161,7334480.177052682,350.02357567470125,3339.8736039890046,9.868434013609654,1.0000000004497747
-12.775025,-70.0,125142.7840601227,10062679.57045425,7346353.035329516,381.77471286864113,3296.3643795101743,9.868489454612389,1.000000000438011
-11.17814687499999,-70.0,126777.8372399381,10070415.455261024,7357958.716504801,397.63793070693873,3274.644503779525,9.868529966924852,1.000000000426513
-9.581268749999996,-70.0,127851.728733417,10075394.960089836,7365439.123241553,413.49113481873593,3252.9527916546585,9.868584788146583,1.000000000406976
-7.984390624999997,-70.0,128924.8177460065,10080292.681414189,7372804.292473141,429.3365700893396,3231.2829293956484,9.868654791154214,1.0000000003765195
-6.387512499999998,-70.0,129732.0317544932,10083926.58995935,7378273.837254062,445.1753006186188,3209.631924221613,9.86874059917866,1.0000000003326877
-5.589073437499998,-70.0,130539.1866374753,10087517.867588665,7383683.315145687,453.09182924886954,3198.8143996688145,9.868791532880822,1.000000000302755
-4.79063437499999,-70.0,131074.9464980796,10089878.5962385,7387241.460621366,461.00602248842836,3188.003443402337,9.86885011014365,1.000000000264202
-3.992195312499998,-70.0,131610.5152606379,10092220.364184165,7390772.77080962,468.91837169269553,3177.197673485117,9.868915565255003,1.0000000002167975
-3.193756249999999,-70.0,132145.8944841154,10094543.405239217,7394277.557656984,476.8288924893273,3166.3970459643715,9.868988359131436,1.0000000001586575
-2.395317187499991,-70.0,132547.6866248615,10096275.173198484,7396891.39984837,484.7378246138168,3155.6008865840263,9.86906728966273,1.0000000000895188
-1.996097656249999,-70.0,132949.4371769121,10097996.885051515,7399491.006733483,488.6916144112436,3150.2047088886543,9.869108464211804,1.0000000000493934
-1.596878124999999,-70.0,133215.1857148322,10099130.370864125,7401202.966561979,492.6448452588677,3144.810103239602,9.869148131071311,1.0000000000152347
-1.19765859375,-70.0,66901.26995593181,9566623.205534695,6639456.916715031,496.7078724613193,3139.106695342598,9.86917532035686,1.000000000001319
-0.7984390624999997,-70.0,249.7664269297968,326883.7246811686,118194.91734570324,559.8588503732284,2967.218426075244,9.869183693372417,1.0
-0.3992195312499912,-70.0,162.7138347359331,215244.8474886737,77380.58239109989,713.6594467450807,2540.3781048893006,9.869183693372417,1.0
