event_id,primary_charge_fC,preirradiation_full_collection_charge_fC,effective_electron_multiplication,primary_electron_induced_charge_fC,primary_hole_induced_charge_fC,primary_charge_weighted_electron_drift_ps,primary_charge_weighted_hole_drift_ps,gain_charge_weighted_electron_drift_ps,max_electron_drift_ps,max_hole_drift_ps
1196,0.9106588662181749,8.815919360988852,9.680814285155975,0.4102674007479159,0.5003914654702588,246.41925361460014,3472.071210511463,250.92317145819985,1233.3003280060782,3800.968385734952
1197,0.7520632067805542,7.383170172293851,9.817220289102906,0.42611002343775023,0.3259531833428036,310.7280766269673,3376.0758489703608,312.2920498029587,1233.3003280060782,3800.968386045207
1198,0.5795368077806935,5.610415486898034,9.680861356128236,0.2831149232867891,0.2964218844939045,274.24922687011065,3421.587320418109,279.29146926954445,1233.3003280060782,3800.968386439091
1199,0.6230936572649824,6.078336728075097,9.755093246744716,0.28896452684698465,0.33412913041799785,251.60370830411964,3467.171748305291,254.36941433566204,1233.3003280060782,3800.968387466239
1200,0.4461007386785966,4.35486115102365,9.762057700068523,0.21383831962587357,0.23226241905272307,290.7199062060703,3368.5586508306164,293.7480957696508,1233.3003280060782,3800.9683863604446
1201,0.6483506228049597,6.358921142249583,9.807843038291502,0.3198650723955637,0.3284855504093959,295.139160760234,3366.368126715169,296.8919505404652,1233.3003280060782,3800.9683868286256
1202,0.6082341463150406,5.9337409860239765,9.755685408281138,0.2915434177071893,0.31669072860785136,263.8869453431974,3444.010093805432,266.78151269706177,1233.3003280060782,3800.968388791151
1203,0.45172484125394297,4.332276335474086,9.590520466946472,0.2136795008709439,0.23804534038299904,254.16586901019613,3466.745854400242,261.1145021929468,1233.3003280060782,3800.968386283105
1204,0.6774914757645359,6.589370246672765,9.726130117337327,0.3474622115593479,0.3300292642051882,280.22929667149486,3422.570976956827,284.1280572582277,1233.3003280060782,3800.9683855064563
1205,0.5353467521380565,5.278010190328249,9.859049614570452,0.3180469576643602,0.21729979447369643,322.1834877460658,3363.9712711842176,322.497156132654,1233.3003280060782,3800.968385435349
1206,0.5798485228214545,5.722545620670389,9.86903543847168,0.32425087990817325,0.2555976429132813,301.69850072430444,3396.0687346972154,301.70190072424543,1233.3003280060782,3788.2404173718114
1207,0.6089696070102051,5.984332079981198,9.8269798871603,0.33099794827699175,0.2779716587332132,295.73421465423746,3401.3912587152176,296.94130321935614,1233.3003280060782,3800.9683856857223
1208,2.0884900640459416,20.601929377298948,9.864509164763618,1.071969631450166,1.0165204325957762,272.1886704307195,3445.4844125006257,272.30421919059347,1233.3003280060782,3800.968387651475
1209,2.4063602076857147,23.72600802571043,9.85970759902509,1.9243750387348513,0.4819851689508615,537.0205757327003,2910.086609880795,537.5438616448971,1233.3003280060782,3800.9683870954536
1210,0.5848819574355281,5.228272009618882,8.939020845407422,0.20444364978392465,0.3804383076516034,188.71542705196316,3560.531917764235,206.79921837623766,1233.3003280060782,3800.968387172187
1211,0.5855141473550445,5.708621453837768,9.749758361305949,0.2688575170722635,0.316656630282781,250.47183323604457,3467.009207601241,253.3546630965749,1233.3003280060782,3800.9683865515462
1212,0.5829497334574959,5.5723214765574856,9.558836991841211,0.29007125593826116,0.29287847751923485,281.22218522206254,3408.610156240303,289.8681620988848,1233.3003280060782,3800.968385809751
1213,1.2147911886645872,11.44812403991113,9.423943922820172,0.6419781852528067,0.5728130034117807,283.3525157487267,3425.195483681495,296.0295183817339,1233.3003280060782,3800.9683857451178
1214,1.262101941306828,12.284494949821964,9.733361900309047,0.49499965571825916,0.7671022855885683,213.3237964544635,3522.511538626023,216.08825881833258,1233.3003280060782,3800.968387362245
1215,0.5227168831158888,5.128557064258736,9.811347652839654,0.26697767682653906,0.25573920628934976,344.7213570244987,3239.63998145216,346.6684774396982,1233.3003280060782,3800.968385775197
1216,1.7928495890466278,8.798838778259922,4.907739518148214,0.41866627712907656,1.3741833119175513,133.1301000187709,3632.0246949556963,252.65443796840276,1233.3003280060782,3800.9683854305827
1217,0.42991235106091197,4.135098088373141,9.618467760158072,0.22352767992786682,0.20638467113304523,278.95286921453913,3431.3320981795487,285.8338448339319,1233.3003280060782,3800.968386253095
1218,0.5815902753449009,5.691943544588905,9.786861620430994,0.30385660772162604,0.27773366762327484,304.2953434627587,3361.8993548428252,306.7288991676378,1233.3003280060782,3800.968386208818
1219,0.7512284567542807,7.3003539847538725,9.717887972848377,0.480901661205572,0.2703267955487089,358.8515243424124,3294.521195999068,364.20739881110796,1233.3003280060782,3800.9683863825585
1220,0.5553962806172694,5.436529554306409,9.788559527737979,0.28298573202681593,0.27241054859045327,281.4111952344542,3416.8006621268496,283.605084053944,1233.3003280060782,3800.96838797113
1221,0.7597072280879613,7.384481766123872,9.720167839799561,0.4610561999204709,0.2986510281674903,336.14072507564117,3334.069879603488,341.0635716934329,1233.3003280060782,3800.9683871555703
1222,0.8346968995982378,8.126585515563008,9.735971847355074,0.42949086690261357,0.4052060326956243,285.37950267382035,3409.3154143258057,289.07641539678986,1233.3003280060782,3800.9683876635795
1223,0.653712827253672,6.3434070530577,9.703660060805497,0.326613654378404,0.3270991728752678,281.28689563342596,3409.917225042019,285.83115798111027,1233.3003280060782,3800.9683858126778
1224,0.5756304266153703,5.563774218471407,9.6655318433837,0.3066161177000427,0.2690143089153277,332.30279327832056,3290.589181579231,338.9930186992286,1233.3003280060782,3800.9683855327125
1225,0.5586580069649125,5.498767920731685,9.842815912736116,0.27196180033767003,0.2866962066272425,268.7724194255878,3435.7429184909847,269.4502762200752,1233.3003280060782,3800.968386991645
1226,0.522625259672146,5.136806410107261,9.828852155614692,0.29778647185675144,0.22483878781539435,308.89190072862124,3383.581175930819,310.09775003816117,1233.3003280060782,3800.968385782106
1227,0.5904774793695878,5.81636076505226,9.8502668912318,0.32226816767277594,0.2682093116968116,306.5957936829441,3372.4794100292256,307.1556899919234,1233.3003280060782,3800.968385592891
1228,0.5442362876168024,5.343478707363092,9.818306549829774,0.2649808755560476,0.27925541206075494,273.8746354424958,3421.446347083234,275.2148512113086,1233.3003280060782,3800.968392882237
1229,0.4227720581736747,4.150250494222183,9.816756840910381,0.1974642158354904,0.2253078423381843,250.68829803474844,3472.168425389968,251.9440269133242,1233.3003280060782,3800.968391475316
1230,0.41600829572113873,4.105584444725655,9.868996572793673,0.22122952705599644,0.19477876866514224,298.14858826828794,3386.0115249612754,298.15215445626364,1233.3003280060782,3788.2404155081113
1231,0.63438203334853,6.092026408070979,9.603087867912574,0.3001800803052228,0.33420195304330746,253.74788256682024,3468.0346399599366,260.36289163197006,1233.3003280060782,3800.9683856683996
1232,0.6902851513655962,6.728088257592923,9.746824546758244,0.3654455430878321,0.3248396082777637,306.7493025857205,3360.082660616502,310.4115122202316,1233.3003280060782,3800.968386565736
1233,0.6485203071310539,6.231605421282392,9.60895958501281,0.284046244139053,0.3644740629920011,243.0705273370972,3472.330391322717,249.24908508860918,1233.3003280060782,3800.968385840701
1234,0.5887426915413478,5.712507747003983,9.702893690363185,0.28168468656827905,0.30705800497306895,254.94448521439023,3468.5199657214516,259.0554920886244,1233.3003280060782,3800.968385929504
1235,0.6254328298763462,6.167934171172624,9.861865058142346,0.35577904644921,0.2696537834271362,306.93286973577125,3388.4056991602047,307.1494542435675,1233.3003280060782,3800.9683872915994
1236,0.4784733639912075,4.722033416428351,9.868957755640341,0.22557851850455315,0.2528948454866542,269.06026219986336,3423.7033280632586,269.0637442579808,1233.3003280060782,3788.2404128363005
1237,1.0439792253195603,10.174382628059524,9.745771162204077,0.7443811510008091,0.2995980743187513,373.5655453761124,3306.42136460351,378.1057499348514,1233.3003280060782,3800.9683865933857
1238,0.7683435397112564,7.578143670456172,9.86296269674375,0.44113433024764204,0.32720920946361437,314.11213994078383,3372.077985594397,314.3003343754307,1233.3003280060782,3800.968386019911
1239,0.5023276086996167,4.912685080759349,9.779842866843202,0.2109819021061767,0.29134570659344,228.10762600220033,3501.2642611549254,230.05412119903355,1233.3003280060782,3800.9683882710756
1240,0.6858972018665346,6.66814664214242,9.72178720659068,0.39197761090338823,0.29391959096314635,336.0283123256784,3308.497172350112,340.899428418732,1233.3003280060782,3800.9683936837555
1241,0.5726350041445716,5.546469492968073,9.685872244665942,0.29002834756448365,0.28260665658008804,271.33093788159374,3442.9284109101823,276.1818912375606,674.7618006798974,3800.9683862529464
1242,0.8617515858393446,8.353548472179915,9.693685058953006,0.45986883358138786,0.4018827522579566,289.75171064657843,3410.982815079158,294.72994735198574,1233.3003280060782,3800.968386585181
1243,0.6676063331195797,6.436974820756609,9.641872015620374,0.37722882734445745,0.29037750577512234,302.9491256575552,3396.8271661934846,309.73965451127356,1233.3003280060782,3800.9683855694775
1244,1.1913251288245656,11.74193296399816,9.856195156047342,0.5229951157026842,0.6683300131218816,260.4784266399716,3424.110341580726,260.800600756725,1233.3003280060782,3800.9683869089076
1245,0.48434960766280194,4.559044137158188,9.412713595779636,0.2191577370811037,0.2651918705816983,260.7460091992294,3433.211344018083,272.6682466060679,1233.3003280060782,3800.968385551376
1246,0.4905973535286583,4.682083812165153,9.543638542868024,0.2643660741404756,0.22623127938818263,331.2464939547855,3298.096692673225,342.0392082798995,1233.3003280060782,3800.9683868244356
1247,0.5273942725855126,5.1039607666002205,9.677694718940383,0.2350978544840085,0.2922964181015042,238.52783441358227,3490.796468690589,242.94862931438502,1233.3003280060782,3800.968386126013
1248,0.5998671456494097,5.890798116719938,9.820171281997155,0.29906855459595055,0.3007985910534591,278.8166995162767,3416.0817643430682,280.13201749613944,1233.3003280060782,3800.9683869748237
1249,1.2721608962096944,12.477884644498651,9.80841706554222,0.5093290720856075,0.7628318241240867,220.29800860902392,3508.865282777379,221.56666340284644,1233.3003280060782,3800.968386053141
1250,0.7804820268710908,7.621909909043765,9.765644366724983,0.41921549351463994,0.3612665333564509,294.23259373448917,3400.9246158007104,297.1950182159531,1233.3003280060782,3800.968386778643
1251,0.4631644891058621,4.513588058121906,9.745108194359581,0.22203850126634,0.24112598783952222,284.1385373665789,3387.101393569505,287.56705876177864,1233.3003280060782,3800.9683898042504
1252,0.6030438443397805,5.864617096959526,9.72502605242605,0.3159804237453261,0.2870634205944543,290.90730192171145,3400.662971538068,294.9947788243806,1233.3003280060782,3800.9683859757715
1253,0.7196738896437418,6.943500093407971,9.648120062887363,0.4121823596927219,0.30749152995101986,305.20202398249415,3396.112570913798,311.8486252850536,1233.3003280060782,3800.9683874658535
1254,0.5978890506304294,5.873530998158597,9.823780836871652,0.3162953170164938,0.28159373361393547,308.9917373985679,3353.4889193329163,310.35134139901396,1233.3003280060782,3800.9683853614833
1255,0.879226219287841,7.183589854295897,8.170354451115537,0.246529039676363,0.632697179611478,162.12754194723317,3584.743907316527,192.7382078565296,1233.3003280060782,3800.968385357947
1256,0.5290729564480393,5.127689456476743,9.69183813684557,0.22916997345512788,0.29990298299291146,240.72263912931302,3475.396583577057,244.85164196785672,1233.3003280060782,3800.9683857882997
1257,0.6247817669921107,6.159875502176715,9.859243383225197,0.3380858679945614,0.2866958989975492,314.28741107365903,3347.4471495749217,314.5902441788681,1233.3003280060782,3800.9683862685392
1258,0.47988736304847607,4.6702663242178994,9.732005224205352,0.23934009848639556,0.24054726456208045,274.1846719501343,3429.2440748021377,277.83643425990914,1233.3003280060782,3800.9683906497994
1259,0.6104206341114076,5.247854719739943,8.597112264036213,0.25170106675351683,0.3587195673578906,242.31606191550128,3455.695900636822,275.96550006379965,1233.3003280060782,3800.968389310799
