vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,impact_ionization,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1,bias_V
1762,-45.5110265625,52.5,-65.14142389608725,103611.4978554231,103611.4978420067,1.667387466929927,-2990053721886.773,10030013157.85934,3000083735044.632,10030013157.85934,3000083735044.632,54998325.98539679,1.9340605057944e-05,1.429992655043653e-13,-590.0
1763,-45.91024609375,43.75000000000001,-61.01600689047488,103199.8467923029,103199.8467923028,0.004336153872635077,-2990053853025.734,10030013431.97886,3000083866457.713,10030013431.97886,3000083866457.713,40065072.82247902,1.619287614084066e-05,1.031977755888805e-13,-590.0
1764,-46.309465625,35.0,-56.90153759853951,102994.1066778003,102994.106676877,0.4361155972394924,-2990054049614.486,10030013945.6245,3000084063560.11,10030013945.6245,3000084063560.11,34152284.312309,1.480366873968007e-05,8.750432801293355e-14,-590.0
1765,-46.50907539062499,26.25,-54.84838125792526,102788.1577594631,102788.1577594413,0.0669086572019562,-2990054225043.958,10030014484.73802,3000084239528.696,10030014484.73802,3000084239528.696,29133850.04976479,1.353111130416967e-05,7.422717562621013e-14,-590.0
1766,-46.70868515625,17.5,-52.79791834443149,102684.976507141,102684.9765068999,0.2225302710308729,-2990054502081.066,10030015382.19415,3000084517463.26,10030015382.19415,3000084517463.26,26897593.6671771,1.293272757706751e-05,6.832402707455346e-14,-590.0
1767,-46.80849003906249,8.75,-51.77362990805074,102581.5679438592,102581.5679437678,0.1368881774289612,-2990054731030.152,10030016009.52737,3000084747039.68,10030016009.52737,3000084747039.68,24833294.6355743,1.235836138190153e-05,6.288120320746891e-14,-590.0
1768,-46.70868515625,8.75,-52.79778653185483,102684.5118046413,102684.5118043249,0.2549415696011493,-2990054502081.632,10030015382.19568,3000084517463.828,10030015382.19568,3000084517463.828,26888625.88395078,1.29298521441161e-05,6.829645015078174e-14,-590.0
1769,-46.50907539062499,17.5,-54.84829555340622,102787.8959230628,102787.8959229823,0.1286660196525049,-2990054225044.043,10030014484.73766,3000084239528.781,10030014484.73766,3000084239528.781,29128433.17100012,1.352953889198177e-05,7.421150772440638e-14,-590.0
1770,-46.309465625,26.25,-56.9015028221835,102993.998253268,102993.9982521328,0.4835623790785804,-2990054049614.499,10030013945.62424,3000084063560.122,10030013945.62424,3000084063560.122,34149435.71993409,1.480298520213313e-05,8.749702005625953e-14,-590.0
1771,-45.91024609375,35.0,-61.01600052595069,103199.8175182926,103199.8175182895,0.02527115949646176,-2990053853025.685,10030013431.97863,3000083866457.663,10030013431.97863,3000083866457.663,40063516.14829624,1.619261480495818e-05,1.031947762544903e-13,-590.0
1772,-45.5110265625,43.75000000000001,-65.14142173140075,103611.4740439115,103611.4740308586,1.644641837902513,-2990053721886.658,10030013157.85904,3000083735044.517,10030013157.85904,3000083735044.517,54995539.75461148,1.934029055740242e-05,1.429949490573473e-13,-590.0
1773,-44.7125875,52.5,-73.42509315312765,104022.3186929904,104022.3186929859,0.03055278668436451,-2990053558451.32,10030012909.92864,3000083571361.249,10030012909.92864,3000083571361.249,75707047.1991332,2.308622311938249e-05,1.98485240137429e-13,-590.0
1774,-43.9141484375,61.25,-81.75257557774086,104570.3064322102,104570.3064318496,0.274626990737712,-2990053438720.521,10030012775.09989,3000083451495.621,10030012775.09989,3000083451495.621,113819154.4867874,2.901449405576701e-05,3.010483441137904e-13,-590.0
1775,-43.9141484375,70.0,-81.75299614186885,104569.6821318847,104569.6817055243,-9.44292043679742,-2990053438720.972,10030012775.10163,3000083451496.073,10030012775.10163,3000083451496.073,113815534.658588,2.901673891011585e-05,3.010908114083048e-13,-590.0
1776,-43.115709375,70.0,-90.1241845777673,105390.2421614171,105390.2411306338,-14.74004717646311,-2990053387335.475,10030012735.84909,3000083400071.323,10030012735.84909,3000083400071.323,211196754.1659759,4.081824138942684e-05,5.647651267805049e-13,-590.0
1777,-43.115709375,61.25,-90.12374341120223,105393.6917522731,105393.6915497741,6.533317013615233,-2990053387335.065,10030012735.8475,3000083400070.913,10030012735.8475,3000083400070.913,211213364.7694989,4.081574925082814e-05,5.647026656813319e-13,-590.0
1778,-43.9141484375,52.5,-81.75252039812148,104570.2026809014,104570.202680895,0.03651860855019414,-2990053438720.312,10030012775.09916,3000083451495.412,10030012775.09916,3000083451495.412,113809285.4715229,2.901309566406295e-05,3.010213222092773e-13,-590.0
1779,-44.7125875,43.75000000000001,-73.42508904692377,104022.2920998078,104022.2920998075,0.008110698339271704,-2990053558451.205,10030012909.9283,3000083571361.133,10030012909.9283,3000083571361.133,75703301.7925609,2.308585229454775e-05,1.98479273294027e-13,-590.0
1780,-45.5110265625,35.0,-65.14141415607708,103611.4412984895,103611.4412851006,1.665679339827127,-2990053721886.601,10030013157.85879,3000083735044.46,10030013157.85879,3000083735044.46,54993411.67216481,1.933998856229769e-05,1.429909366653461e-13,-590.0
1781,-45.91024609375,26.25,-61.0159614216963,103199.7089142979,103199.7089142678,0.07882828864304646,-2990053853025.68,10030013431.9783,3000083866457.659,10030013431.9783,3000083866457.659,40059949.60137641,1.619180637115057e-05,1.031854901586344e-13,-590.0
1782,-46.309465625,17.5,-56.90141190813155,102993.7390463531,102993.7390448817,0.5505534489470325,-2990054049614.531,10030013945.62371,3000084063560.155,10030013945.62371,3000084063560.155,34143500.42917653,1.480138584433863e-05,8.747987572131085e-14,-590.0
1783,-46.50907539062499,8.75,-54.84815446786272,102787.4321746888,102787.4321745534,0.1668611950125643,-2990054225044.32,10030014484.73787,3000084239529.059,10030014484.73787,3000084239529.059,29118225.10291172,1.352629658028264e-05,7.417928020243829e-14,-590.0
1784,-46.309465625,8.75,-56.90126158481173,102993.278623356,102993.2786215733,0.6059900840547336,-2990054049614.602,10030013945.62308,3000084063560.225,10030013945.62308,3000084063560.225,34132511.23964957,1.479821167352048e-05,8.744595899175397e-14,-590.0
1785,-45.91024609375,17.5,-61.01586019131873,103199.452247306,103199.4522471935,0.1523657274865965,-2990053853025.656,10030013431.97761,3000083866457.634,10030013431.97761,3000083866457.634,40052715.09814863,1.618998654167441e-05,1.031645179172341e-13,-590.0
1786,-45.5110265625,26.25,-65.14137071072663,103611.3321109635,103611.3320966282,1.723543213961352,-2990053721886.584,10030013157.85843,3000083735044.442,10030013157.85843,3000083735044.442,54988861.7916481,1.933911197356968e-05,1.42979297060244e-13,-590.0
1787,-44.7125875,35.0,-73.42507880844127,104022.2569076938,104022.2569076881,0.03434330388391404,-2990053558451.139,10030012909.92804,3000083571361.067,10030012909.92804,3000083571361.067,75700091.25938047,2.308543926980352e-05,1.98472921583602e-13,-590.0
1788,-43.9141484375,43.75000000000001,-81.75251400931202,104570.17219779,104570.1721977894,0.01109577004589939,-2990053438720.209,10030012775.09885,3000083451495.308,10030012775.09885,3000083451495.308,113803445.168599,2.901260157127004e-05,3.010117670308143e-13,-590.0
1789,-43.115709375,52.5,-90.12368005244434,105393.5833758405,105393.5831899618,6.259459132240898,-2990053387334.866,10030012735.84679,3000083400070.713,10030012735.84679,3000083400070.713,211199008.9586757,4.081389096840216e-05,5.646550461743055e-13,-590.0
1790,-41.51883125000001,61.25,-106.9971619455683,106211.663406793,106211.6634063202,0.3169193489312526,-2990053311705.908,10030012683.75522,3000083324389.663,10030012683.75522,3000083324389.663,395146007.3683571,5.72733577976293e-05,1.065313454330273e-12,-590.0
